kratica,drzava
DEN,Denmark
CAN,Canada
POL,Poland
ITA,Italy
NOR,Norway
NED,Netherlands
CHN,People's Republic of China
FIN,Finland
SWE,Sweden
JPN,Japan
HUN,Hungary
GBR,Great Britain
FRA,France
LAT,Latvia
RUS,Russian Federation
SUN,Soviet Union
KAZ,Kazakhstan
BLR,Belarus
GER,Germany
EST,Estonia
ROC,ROC
SUI,Switzerland
USA,United States of America
GDR,German Democratic Republic (Germany)
ROU,Romania
FRG,Federal Republic of Germany
NZL,New Zealand
UKR,Ukraine
AUT,Austria
KOR,Republic of Korea
YUG,Yugoslavia
BEL,Belgium
TCH,Czechoslovakia
PRK,Democratic People's Republic of Korea
MGL,Mongolia
TPE,Chinese Taipei
AUS,Australia
CZE,Czech Republic
ISV,"Virgin Islands, US"
POR,Portugal
HKG,"Hong Kong, China"
