igre,disciplina,mesto,drzava,ime,rezultat
Chamonix 1924,500m-men,1,USA,Charles Jewtraw,44.000
Chamonix 1924,500m-men,2,NOR,Oskar Olsen,44.200
Chamonix 1924,500m-men,3,NOR,Roald Larsen,44.800
Chamonix 1924,500m-men,3,FIN,Clas Thunberg,44.800
Chamonix 1924,500m-men,5,FIN,Asser Wallenius,45.000
Chamonix 1924,500m-men,6,SWE,Axel Blomqvist,45.200
Chamonix 1924,500m-men,7,CAN,Charlie Gorman,45.400
Chamonix 1924,500m-men,8,USA,Joe Moore,45.600
Chamonix 1924,500m-men,8,NOR,Harald Ström,45.600
Chamonix 1924,500m-men,10,FIN,Julius Skutnabb,46.400
Chamonix 1924,500m-men,11,SWE,Erik Blomgren,46.600
Chamonix 1924,500m-men,12,USA,Harry F. Kaskey,47.000
Chamonix 1924,500m-men,13,NOR,Sigurd Moen,47.200
Chamonix 1924,500m-men,14,USA,William E. Steinmetz,47.800
Chamonix 1924,500m-men,15,FRA,Léon Quaglia,48.400
Chamonix 1924,500m-men,16,LAT,Alberts Rumba,48.800
Chamonix 1924,500m-men,17,POL,Leon Jucewicz,49.600
Chamonix 1924,500m-men,18,FRA,Albert Hassler,50.600
Chamonix 1924,500m-men,19,BEL,Louis De Ridder,52.800
Chamonix 1924,500m-men,20,FRA,André Gegout,53.200
Chamonix 1924,500m-men,21,FRA,Georges Frédéric De Wilde,54.800
Chamonix 1924,500m-men,22,BEL,Gaston Van Hazebroeck,55.800
Chamonix 1924,500m-men,23,GBR,Fred Dix,56.400
Chamonix 1924,500m-men,23,BEL,Philippe Van Volckxsom,56.400
Chamonix 1924,500m-men,25,GBR,Tom Sutton,00:01:00.800
Chamonix 1924,500m-men,26,BEL,Marcel T. Moens,00:01:02.200
Chamonix 1924,500m-men,27,GBR,Cyril Walter Horn,00:01:04.400
Chamonix 1924,1500m-men,1,FIN,Clas Thunberg,00:02:20.800
Chamonix 1924,1500m-men,2,NOR,Roald Larsen,00:02:22.000
Chamonix 1924,1500m-men,3,NOR,Sigurd Moen,00:02:25.600
Chamonix 1924,1500m-men,4,FIN,Julius Skutnabb,00:02:26.600
Chamonix 1924,1500m-men,5,NOR,Harald Ström,00:02:29.000
Chamonix 1924,1500m-men,6,NOR,Oskar Olsen,00:02:29.200
Chamonix 1924,1500m-men,7,USA,Harry F. Kaskey,00:02:29.800
Chamonix 1924,1500m-men,8,USA,Charles Jewtraw,00:02:31.600
Chamonix 1924,1500m-men,8,USA,Joe Moore,00:02:31.600
Chamonix 1924,1500m-men,10,LAT,Alberts Rumba,00:02:32.000
